,Code,Description1
198,H9001007,Court-ordered
199,HA001007,Child/adolescent program
200,HB001007,"Adult program, non geriatric"
201,HC001007,"Adult program, geriatric"
202,HD001007,Pregnant/parenting women's program
203,HE001007,Mental health program
204,HF001007,Substance abuse program
205,HG001007,Opioid addiction treatment program
206,HH001007,Integrated mental health/substance abuse program
207,HI001007,Integrated mental health and intellectual disability/developmental disabilities
208,HI002008,program
209,HJ001007,Employee assistance program
210,HK001007,Specialized mental health programs for high-risk populations
211,HL001007,Intern
212,HM001007,Less than bachelor degree level
213,HN001007,Bachelors degree level
214,HO001007,Masters degree level
215,HP001007,Doctoral level
216,HQ001007,Group setting
217,HR001007,Family/couple with client present
218,HS001007,Family/couple without client present
219,HT001007,Multi-disciplinary team
220,HU001007,Funded by child welfare agency
221,HV001007,Funded state addictions agency
222,HW001007,Funded by state mental health agency
223,HX001007,Funded by county/local agency
224,HY001007,Funded by juvenile justice agency
225,HZ001007,Funded by criminal justice agency
226,J1001007,Competitive acquisition program no-pay submission for a prescription number
227,J2001007,"Competitive acquisition program, restocking of emergency drugs after emergency"
228,J2002008,administration
229,J3001007,"Competitive acquisition program (cap), drug not available through cap as"
230,J3002008,"written, reimbursed under average sales price methodology"
231,J4001007,Dmepos item subject to dmepos competitive bidding program that is furnished by
232,J4002008,a hospital upon discharge
233,J5001007,Off-the-shelf orthotic subject to dmepos competitive bidding program that is
234,J5002008,furnished as part of a physical therapist or occupational therapist
235,J5003008,professional service
236,JA001007,Administered intravenously
237,JB001007,Administered subcutaneously
238,JC001007,Skin substitute used as a graft
239,JD001007,Skin substitute not used as a graft
240,JE001007,Administered via dialysate
241,JF001007,Compounded drug
242,JG001007,"Drug or biological acquired with 340b drug pricing program discount, reported"
243,JG002008,for informational purposes
244,JK001007,One month supply or less of drug or biological
245,JL001007,Three month supply of drug or biological
246,JW001007,Drug amount discarded/not administered to any patient
247,JZ001007,Zero drug amount discarded/not administered to any patient
248,K0001007,Lower extremity prosthesis functional level 0 - does not have the ability or
249,K0002008,potential to ambulate or transfer safely with or without assistance and a
250,K0003008,prosthesis does not enhance their quality of life or mobility.
251,K1001007,Lower extremity prosthesis functional level 1 - has the ability or potential to
252,K1002008,use a prosthesis for transfers or ambulation on level surfaces at fixed
253,K1003008,cadence. typical of the limited and unlimited household ambulator.
254,K2001007,Lower extremity prosthesis functional level 2 - has the ability or potential
255,K2002008,for ambulation with the ability to traverse low level environmental barriers
256,K2003008,"such as curbs, stairs or uneven surfaces.  typical of the limited community"
257,K2004008,ambulator.
258,K3001007,Lower extremity prosthesis functional level 3 - has the ability or potential
259,K3002008,for ambulation with variable cadence.  typical of the community ambulator who
260,K3003008,has the ability to transverse most environmental barriers and may have
261,K3004008,"vocational, therapeutic, or exercise activity that demands prosthetic"
262,K3005008,utilization beyond simple locomotion.
263,K4001007,Lower extremity prosthesis functional level 4 - has the ability or potential
264,K4002008,"for prosthetic ambulation that exceeds the basic ambulation skills, exhibiting"
265,K4003008,"high impact, stress, or energy levels, typical of the prosthetic demands of the"
266,K4004008,"child, active adult, or athlete."
267,KA001007,Add on option/accessory for wheelchair
268,KB001007,"Beneficiary requested upgrade for abn, more than 4 modifiers identified on clai"
269,KC001007,Replacement of special power wheelchair interface
270,KD001007,Drug or biological infused through dme
271,KE001007,Bid under round one of the dmepos competitive bidding program for use with
272,KE002008,non-competitive bid base equipment
273,KF001007,Item designated by fda as class iii device
274,KG001007,Dmepos item subject to dmepos competitive bidding program number 1
275,KH001007,"Dmepos item, initial claim, purchase or first month rental"
276,KI001007,"Dmepos item, second or third month rental"
277,KJ001007,"Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months"
278,KJ002008,four to fifteen
279,KK001007,Dmepos item subject to dmepos competitive bidding program number 2
280,KL001007,Dmepos item delivered via mail
281,KM001007,Replacement of facial prosthesis including new impression/moulage
282,KN001007,Replacement of facial prosthesis using previous master model
283,KO001007,Single drug unit dose formulation
284,KP001007,First drug of a multiple drug unit dose formulation
285,KQ001007,Second or subsequent drug of a multiple drug unit dose formulation
286,KR001007,"Rental item, billing for partial month"
287,KS001007,Glucose monitor supply for diabetic beneficiary not treated with insulin
288,KT001007,Beneficiary resides in a competitive bidding area and travels outside that
289,KT002008,competitive bidding area and receives a competitive bid item
290,KU001007,Dmepos item subject to dmepos competitive bidding program number 3
291,KV001007,Dmepos item subject to dmepos competitive bidding program that is furnished as
292,KV002008,part of a professional service
293,KW001007,Dmepos item subject to dmepos competitive bidding program number 4
294,KX001007,Requirements specified in the medical policy have been met
295,KY001007,Dmepos item subject to dmepos competitive bidding program number 5
296,KZ001007,New coverage not implemented by managed care
297,L1001007,Provider attestation that the hospital laboratory test(s) is not packaged under
298,L1002008,the hospital opps
299,LC001007,Left circumflex coronary artery
300,LD001007,Left anterior descending coronary artery
301,LL001007,Lease/rental (use the 'll' modifier when dme equipment rental is to be applied
302,LL002008,against the purchase price)
303,LM001007,Left main coronary artery
304,LR001007,Laboratory round trip
305,LS001007,Fda-monitored intraocular lens implant
306,LT001007,Left side (used to identify procedures performed on the left side of the body)
307,LU001007,Fractionated payment
308,M2001007,Medicare secondary payer (msp)
309,MA001007,Ordering professional is not required to consult a clinical decision support
310,MA002008,mechanism due to service being rendered to a patient with a suspected or
311,MA003008,confirmed emergency medical condition
312,MB001007,Ordering professional is not required to consult a clinical decision support
313,MB002008,mechanism due to the significant hardship exception of insufficient internet
314,MB003008,access
315,MC001007,Ordering professional is not required to consult a clinical decision support
316,MC002008,mechanism due to the significant hardship exception of electronic health record
317,MC003008,or clinical decision support mechanism vendor issues
318,MD001007,Ordering professional is not required to consult a clinical decision support
319,MD002008,mechanism due to the significant hardship exception of extreme and
320,MD003008,uncontrollable circumstances
321,ME001007,The order for this service adheres to appropriate use criteria in the clinical
322,ME002008,decision support mechanism consulted by the ordering professional
323,MF001007,The order for this service does not adhere to the appropriate use criteria in
324,MF002008,the clinical decision support mechanism consulted by the ordering professional
325,MG001007,The order for this service does not have applicable appropriate use criteria in
326,MG002008,the qualified clinical decision support mechanism consulted by the ordering
327,MG003008,professional
328,MH001007,Unknown if ordering professional consulted a clinical decision support
329,MH002008,"mechanism for this service, related information was not provided to the"
330,MH003008,furnishing professional or provider
331,MS001007,Six month maintenance and servicing fee for reasonable and necessary parts and
332,MS002008,labor which are not covered under any manufacturer or supplier warranty
333,N1001007,Group 1 oxygen coverage criteria met
334,N2001007,Group 2 oxygen coverage criteria met
335,N3001007,Group 3 oxygen coverage criteria met
336,NB001007,"Nebulizer system, any type, fda-cleared for use with specific drug"
337,NR001007,New when rented (use the 'nr' modifier when dme which was new at the time of
338,NR002008,rental is subsequently purchased)
339,NU001007,New equipment
340,P1001007,A normal healthy patient
341,P2001007,A patient with mild systemic disease
342,P3001007,A patient with severe systemic disease
343,P4001007,A patient with severe systemic disease that is a constant threat to life
344,P5001007,A moribund patient who is not expected to survive without the operation
345,P6001007,A declared brain-dead patient whose organs are being removed for donor purposes
346,PA001007,Surgical or other invasive procedure on wrong body part
347,PB001007,Surgical or other invasive procedure on wrong patient
348,PC001007,Wrong surgery or other invasive procedure on patient
349,PD001007,Diagnostic or related non diagnostic item or service provided in a wholly owned
350,PD002008,or operated entity to a patient who is admitted as an inpatient within 3 days
351,PI001007,Positron emission tomography (pet) or pet/computed tomography (ct) to inform
352,PI002008,the initial treatment strategy of tumors that are biopsy proven or strongly
353,PI003008,suspected of being cancerous based on other diagnostic testing
354,PL001007,Progressive addition lenses
355,PM001007,Post mortem
356,PN001007,"Non-excepted service provided at an off-campus, outpatient, provider-based"
357,PN002008,department of a hospital
358,PO001007,"Excepted service provided at an off-campus, outpatient, provider-based"
359,PO002008,department of a hospital
360,PS001007,Positron emission tomography (pet) or pet/computed tomography (ct) to inform
361,PS002008,the subsequent treatment strategy of cancerous tumors when the beneficiary's
362,PS003008,treating physician determines that the pet study is needed to inform subsequent
363,PS004008,anti-tumor strategy
364,PT001007,Colorectal cancer screening test; converted to diagnostic test or other
365,PT002008,procedure
366,Q0001007,Investigational clinical service provided in a clinical research study that is
367,Q0002008,in an approved clinical research study
368,Q1001007,Routine clinical service provided in a clinical research study that is in an
369,Q1002008,approved clinical research study
370,Q2001007,Demonstration procedure/service
371,Q3001007,Live kidney donor surgery and related services
372,Q4001007,Service for ordering/referring physician qualifies as a service exemption
373,Q5001007,Service furnished under a reciprocal billing arrangement by a substitute
374,Q5002008,physician or by a substitute physical therapist furnishing outpatient physical
375,Q5003008,"therapy services in a health professional shortage area, a medically"
376,Q5004008,"underserved area, or a rural area"
377,Q6001007,Service furnished under a fee-for-time compensation arrangement by a substitute
378,Q6002008,physician or by a substitute physical therapist furnishing outpatient physical
379,Q6003008,"therapy services in a health professional shortage area, a medically"
380,Q6004008,"underserved area, or a rural area"
381,Q7001007,One class a finding
382,Q8001007,Two class b findings
383,Q9001007,One class b and two class c findings
384,QA001007,Prescribed amounts of stationary oxygen for daytime use while at rest and
385,QA002008,nighttime use differ and the average of the two amounts is less than 1 liter
386,QA003008,per minute (lpm)
387,QB001007,Prescribed amounts of stationary oxygen for daytime use while at rest and
388,QB002008,nighttime use differ and the average of the two amounts exceeds 4 liters per
389,QB003008,minute (lpm) and portable oxygen is prescribed
390,QC001007,Single channel monitoring
391,QD001007,Recording and storage in solid state memory by a digital recorder
392,QE001007,Prescribed amount of stationary oxygen while at rest is less than 1 liter per
393,QE002008,minute (lpm)
394,QF001007,Prescribed amount of stationary oxygen while at rest exceeds 4 liters per
395,QF002008,minute (lpm) and portable oxygen is prescribed
396,QG001007,Prescribed amount of stationary oxygen while at rest is greater than 4 liters
397,QG002008,per minute (lpm)
398,QH001007,Oxygen conserving device is being used with an oxygen delivery system
399,QJ001007,"Services/items provided to a prisoner or patient in state or local custody,"
400,QJ002008,"however the state or local government, as applicable, meets the requirements in"
401,QJ003008,42 cfr 411.4 (b)
402,QK001007,"Medical direction of two, three, or four concurrent anesthesia procedures"
403,QK002008,involving qualified individuals
404,QL001007,Patient pronounced dead after ambulance called
405,QM001007,Ambulance service provided under arrangement by a provider of services
406,QN001007,Ambulance service furnished directly by a provider of services
407,QP001007,Documentation is on file showing that the laboratory test(s) was ordered
408,QP002008,individually or ordered as a cpt-recognized panel other than automated profile
409,QP003008,"codes 80002-80019, g0058, g0059, and g0060."
410,QQ001007,Ordering professional consulted a qualified clinical decision support mechanism
411,QQ002008,for this service and the related data was provided to the furnishing
412,QQ003008,professional
413,QR001007,Prescribed amounts of stationary oxygen for daytime use while at rest and
414,QR002008,nighttime use differ and the average of the two amounts is greater than 4
415,QR003008,liters per minute (lpm)
416,QS001007,Monitored anesthesia care service
417,QT001007,Recording and storage on tape by an analog tape recorder
418,QW001007,Clia waived test
419,QX001007,Crna service: with medical direction by a physician
420,QY001007,Medical direction of one certified registered nurse anesthetist (crna) by an
421,QY002008,anesthesiologist
422,QZ001007,Crna service: without medical direction by a physician
423,RA001007,"Replacement of a dme, orthotic or prosthetic item"
424,RB001007,"Replacement of a part of a dme, orthotic or prosthetic item furnished as part"
425,RB002008,of a repair
426,RC001007,Right coronary artery
427,RD001007,"Drug provided to beneficiary, but not administered ""incident-to"""
428,RE001007,Furnished in full compliance with fda-mandated risk evaluation and mitigation
429,RE002008,strategy (rems)
430,RI001007,Ramus intermedius coronary artery
431,RR001007,Rental (use the 'rr' modifier when dme is to be rented)
432,RT001007,Right side (used to identify procedures performed on the right side of the body
433,SA001007,Nurse practitioner rendering service in collaboration with a physician
434,SB001007,Nurse midwife
435,SC001007,Medically necessary service or supply
436,SD001007,"Services provided by registered nurse with specialized, highly technical home"
437,SD002008,infusion training
438,SE001007,State and/or federally-funded programs/services
439,SF001007,Second opinion ordered by a professional review organization (pro) per section
440,SF002008,"9401, p.l. 99-272 (100% reimbursement - no medicare deductible or coinsurance)"
441,SG001007,Ambulatory surgical center (asc) facility service
442,SH001007,Second concurrently administered infusion therapy
443,SJ001007,Third or more concurrently administered infusion therapy
444,SK001007,Member of high risk population (use only with codes for immunization)
445,SL001007,State supplied vaccine
446,SM001007,Second surgical opinion
447,SN001007,Third surgical opinion
448,SQ001007,Item ordered by home health
449,SS001007,Home infusion services provided in the infusion suite of the iv therapy provide
450,ST001007,Related to trauma or injury
451,SU001007,Procedure performed in physician's office (to denote use of facility and
452,SU002008,equipment)
453,SV001007,Pharmaceuticals delivered to patient's home but not utilized
454,SW001007,Services provided by a certified diabetic educator
455,SY001007,Persons who are in close contact with member of high-risk population (use only
456,SY002008,with codes for immunization)
457,SZ001007,Habilitative services
458,T1001007,"Left foot, second digit"
459,T2001007,"Left foot, third digit"
460,T3001007,"Left foot, fourth digit"
461,T4001007,"Left foot, fifth digit"
462,T5001007,"Right foot, great toe"
463,T6001007,"Right foot, second digit"
464,T7001007,"Right foot, third digit"
465,T8001007,"Right foot, fourth digit"
466,T9001007,"Right foot, fifth digit"
467,TA001007,"Left foot, great toe"
468,TB001007,"Drug or biological acquired with 340b drug pricing program discount, reported"
469,TB002008,for informational purposes
470,TC001007,"Technical component; under certain circumstances, a charge may be made for the"
471,TC002008,technical component alone;  under those circumstances the technical component
472,TC003008,charge is identified by adding modifier 'tc' to the usual procedure number;
473,TC004008,technical component charges are institutional charges and not billed separately
474,TC005008,"by physicians; however, portable x-ray suppliers only bill for technical"
475,TC006008,component and should utilize modifier tc; the charge data from portable x-ray
476,TC007008,suppliers will then be used to build customary and prevailing profiles
477,TD001007,Rn
478,TE001007,Lpn/lvn
479,TF001007,Intermediate level of care
480,TG001007,Complex/high tech level of care
481,TH001007,"Obstetrical treatment/services, prenatal or postpartum"
482,TJ001007,"Program group, child and/or adolescent"
483,TK001007,"Extra patient or passenger, non-ambulance"
484,TL001007,Early intervention/individualized family service plan (ifsp)
485,TM001007,Individualized education program (iep)
486,TN001007,Rural/outside providers' customary service area
487,TP001007,"Medical transport, unloaded vehicle"
488,TQ001007,Basic life support transport by a volunteer ambulance provider
489,TR001007,School-based individualized education program (iep) services provided outside
490,TR002008,the public school district responsible for the student
491,TS001007,Follow-up service
492,TT001007,Individualized service provided to more than one patient in same setting
493,TU001007,"Special payment rate, overtime"
494,TV001007,"Special payment rates, holidays/weekends"
495,TW001007,Back-up equipment
496,U1001007,"Medicaid level of care 1, as defined by each state"
497,U2001007,"Medicaid level of care 2, as defined by each state"
498,U3001007,"Medicaid level of care 3, as defined by each state"
499,U4001007,"Medicaid level of care 4, as defined by each state"
500,U5001007,"Medicaid level of care 5, as defined by each state"
501,U6001007,"Medicaid level of care 6, as defined by each state"
502,U7001007,"Medicaid level of care 7, as defined by each state"
503,U8001007,"Medicaid level of care 8, as defined by each state"
504,U9001007,"Medicaid level of care 9, as defined by each state"
505,UA001007,"Medicaid level of care 10, as defined by each state"
506,UB001007,"Medicaid level of care 11, as defined by each state"
507,UC001007,"Medicaid level of care 12, as defined by each state"
508,UD001007,"Medicaid level of care 13, as defined by each state"
509,UE001007,Used durable medical equipment
510,UF001007,Services provided in the morning
511,UG001007,Services provided in the afternoon
512,UH001007,Services provided in the evening
513,UJ001007,Services provided at night
514,UK001007,Services provided on behalf of the client to someone other than the client
515,UK002008,(collateral relationship)
516,UN001007,Two patients served
517,UP001007,Three patients served
518,UQ001007,Four patients served
519,UR001007,Five patients served
520,US001007,Six or more patients served
521,V1001007,Demonstration modifier 1
522,V2001007,Demonstration modifier 2
523,V3001007,Demonstration modifier 3
524,V4001007,Demonstration modifier 4
525,V5001007,Vascular catheter (alone or with any other vascular access)
526,V6001007,Arteriovenous graft (or other vascular access not including a vascular catheter
527,V7001007,Arteriovenous fistula only (in use with two needles)
528,V8001007,Infection present
529,V9001007,No infection present
530,VM001007,Medicare diabetes prevention program (mdpp) virtual make-up session
531,VP001007,Aphakic patient
532,X1001007,"Continuous/broad services: for reporting services by clinicians, who provide"
533,X1002008,"the principal care for a patient, with no planned endpoint of the relationship;"
534,X1003008,"services in this category represent comprehensive care, dealing with the entire"
535,X1004008,"scope of patient problems, either directly or in a care coordination role;"
536,X1005008,"reporting clinician service examples include, but are not limited to: primary"
537,X1006008,"care, and clinicians providing comprehensive care to patients in addition to"
538,X1007008,specialty care
539,X2001007,Continuous/focused services: for reporting services by clinicians whose
540,X2002008,expertise is needed for the ongoing management of a chronic disease or a
541,X2003008,condition that needs to be managed and followed with no planned endpoint to the
542,X2004008,relationship; reporting clinician service examples include but are not limited
543,X2005008,to: a rheumatologist taking care of the patient's rheumatoid arthritis
544,X2006008,longitudinally but not providing general primary care services
545,X3001007,Episodic/broad services: for reporting services by clinicians who have broad
546,X3002008,responsibility for the comprehensive needs of the patient that is limited to a
547,X3003008,defined period and circumstance such as a hospitalization; reporting clinician
548,X3004008,service examples include but are not limited to the hospitalist's services
549,X3005008,rendered providing comprehensive and general care to a patient while admitted
550,X3006008,to the hospital
551,X4001007,Episodic/focused services: for reporting services by clinicians who provide
552,X4002008,focused care on particular types of treatment limited to a defined period and
553,X4003008,"circumstance; the patient has a problem, acute or chronic, that will be treated"
554,X4004008,"with surgery, radiation, or some other type of generally time-limited"
555,X4005008,intervention; reporting clinician service examples include but are not limited
556,X4006008,"to, the orthopedic surgeon performing a knee replacement and seeing the patient"
557,X4007008,through the postoperative period
558,X5001007,Diagnostic services requested by another clinician: for reporting services by a
559,X5002008,clinician who furnishes care to the patient only as requested by another
560,X5003008,clinician or subsequent and related services requested by another clinician;
561,X5004008,this modifier is reported for patient relationships that may not be adequately
562,X5005008,captured by the above alternative categories; reporting clinician service
563,X5006008,"examples include but are not limited to, the radiologist's interpretation of an"
564,X5007008,imaging study requested by another clinician
565,XE001007,"Separate encounter, a service that is distinct because it occurred during a"
566,XE002008,separate encounter
567,XP001007,"Separate practitioner, a service that is distinct because it was performed by a"
568,XP002008,different practitioner
569,XS001007,"Separate structure, a service that is distinct because it was performed on a"
570,XS002008,separate organ/structure
571,XU001007,"Unusual non-overlapping service, the use of a service that is distinct because"
572,XU002008,it does not overlap usual components of the main service
573,ZA001007,Novartis/sandoz
