,code,description,category,last_updated
118,A208,Other forms of plague,Plague,2025-09-07
119,A209,"Plague, unspecified",Plague,2025-09-07
120,A21,Tularaemia,Tularaemia,2025-09-07
121,A210,Ulceroglandular tularaemia,Tularaemia,2025-09-07
122,A211,Oculoglandular tularaemia,Tularaemia,2025-09-07
123,A212,Pulmonary tularaemia,Tularaemia,2025-09-07
124,A213,Gastrointestinal tularaemia,Tularaemia,2025-09-07
125,A217,Generalized tularaemia,Tularaemia,2025-09-07
126,A218,Other forms of tularaemia,Tularaemia,2025-09-07
127,A219,"Tularaemia, unspecified",Tularaemia,2025-09-07
128,A22,Anthrax,Anthrax,2025-09-07
129,A220,Cutaneous anthrax,Anthrax,2025-09-07
130,A221,Pulmonary anthrax,Anthrax,2025-09-07
131,A222,Gastrointestinal anthrax,Anthrax,2025-09-07
132,A227,Anthrax sepsis,Anthrax,2025-09-07
133,A228,Other forms of anthrax,Anthrax,2025-09-07
134,A229,"Anthrax, unspecified",Anthrax,2025-09-07
135,A23,Brucellosis,Brucellosis,2025-09-07
136,A230,Brucellosis due to Brucella melitensis,Brucellosis,2025-09-07
137,A231,Brucellosis due to Brucella abortus,Brucellosis,2025-09-07
138,A232,Brucellosis due to Brucella suis,Brucellosis,2025-09-07
139,A233,Brucellosis due to Brucella canis,Brucellosis,2025-09-07
140,A238,Other brucellosis,Brucellosis,2025-09-07
141,A239,"Brucellosis, unspecified",Brucellosis,2025-09-07
142,A24,Glanders and melioidosis,Glanders and melioidosis,2025-09-07
143,A240,Glanders,Glanders and melioidosis,2025-09-07
144,A241,Acute and fulminating melioidosis,Glanders and melioidosis,2025-09-07
145,A242,Subacute and chronic melioidosis,Glanders and melioidosis,2025-09-07
146,A243,Other melioidosis,Glanders and melioidosis,2025-09-07
147,A244,"Melioidosis, unspecified",Glanders and melioidosis,2025-09-07
148,A25,Rat-bite fevers,Rat-bite fevers,2025-09-07
149,A250,Spirillosis,Rat-bite fevers,2025-09-07
150,A251,Streptobacillosis,Rat-bite fevers,2025-09-07
151,A259,"Rat-bite fever, unspecified",Rat-bite fevers,2025-09-07
152,A26,Erysipeloid,Erysipeloid,2025-09-07
153,A260,Cutaneous erysipeloid,Erysipeloid,2025-09-07
154,A267,Erysipelothrix sepsis,Erysipeloid,2025-09-07
155,A268,Other forms of erysipeloid,Erysipeloid,2025-09-07
156,A269,"Erysipeloid, unspecified",Erysipeloid,2025-09-07
157,A27,Leptospirosis,Leptospirosis,2025-09-07
158,A270,Leptospirosis icterohaemorrhagica,Leptospirosis,2025-09-07
159,A278,Other forms of leptospirosis,Leptospirosis,2025-09-07
160,A279,"Leptospirosis, unspecified",Leptospirosis,2025-09-07
161,A28,"Other zoonotic bacterial diseases, not elsewhere classified","Other zoonotic bacterial diseases, not elsewhere classified",2025-09-07
162,A280,Pasteurellosis,"Other zoonotic bacterial diseases, not elsewhere classified",2025-09-07
163,A281,Cat-scratch disease,"Other zoonotic bacterial diseases, not elsewhere classified",2025-09-07
164,A282,Extraintestinal yersiniosis,"Other zoonotic bacterial diseases, not elsewhere classified",2025-09-07
165,A288,"Other specified zoonotic bacterial diseases, not elsewhere classified","Other zoonotic bacterial diseases, not elsewhere classified",2025-09-07
166,A289,"Zoonotic bacterial disease, unspecified","Other zoonotic bacterial diseases, not elsewhere classified",2025-09-07
167,A30,Leprosy [Hansen disease],Leprosy [Hansen disease],2025-09-07
168,A300,Indeterminate leprosy,Leprosy [Hansen disease],2025-09-07
169,A301,Tuberculoid leprosy,Leprosy [Hansen disease],2025-09-07
170,A302,Borderline tuberculoid leprosy,Leprosy [Hansen disease],2025-09-07
171,A303,Borderline leprosy,Leprosy [Hansen disease],2025-09-07
172,A304,Borderline lepromatous leprosy,Leprosy [Hansen disease],2025-09-07
173,A305,Lepromatous leprosy,Leprosy [Hansen disease],2025-09-07
174,A308,Other forms of leprosy,Leprosy [Hansen disease],2025-09-07
175,A309,"Leprosy, unspecified",Leprosy [Hansen disease],2025-09-07
176,A31,Infection due to other mycobacteria,Infection due to other mycobacteria,2025-09-07
177,A310,Pulmonary mycobacterial infection,Infection due to other mycobacteria,2025-09-07
178,A311,Cutaneous mycobacterial infection,Infection due to other mycobacteria,2025-09-07
179,A318,Other mycobacterial infections,Infection due to other mycobacteria,2025-09-07
180,A319,"Mycobacterial infection, unspecified",Infection due to other mycobacteria,2025-09-07
181,A32,Listeriosis,Listeriosis,2025-09-07
182,A320,Cutaneous listeriosis,Listeriosis,2025-09-07
183,A321,Listerial meningitis and meningoencephalitis,Listeriosis,2025-09-07
184,A327,Listerial sepsis,Listeriosis,2025-09-07
185,A328,Other forms of listeriosis,Listeriosis,2025-09-07
186,A329,"Listeriosis, unspecified",Listeriosis,2025-09-07
187,A33,Tetanus neonatorum,Tetanus neonatorum,2025-09-07
188,A34,Obstetrical tetanus,Obstetrical tetanus,2025-09-07
189,A35,Other tetanus,Other tetanus,2025-09-07
190,A36,Diphtheria,Diphtheria,2025-09-07
191,A360,Pharyngeal diphtheria,Diphtheria,2025-09-07
192,A361,Nasopharyngeal diphtheria,Diphtheria,2025-09-07
193,A362,Laryngeal diphtheria,Diphtheria,2025-09-07
194,A363,Cutaneous diphtheria,Diphtheria,2025-09-07
195,A368,Other diphtheria,Diphtheria,2025-09-07
196,A369,"Diphtheria, unspecified",Diphtheria,2025-09-07
197,A37,Whooping cough,Whooping cough,2025-09-07
198,A370,Whooping cough due to Bordetella pertussis,Whooping cough,2025-09-07
199,A371,Whooping cough due to Bordetella parapertussis,Whooping cough,2025-09-07
200,A378,Whooping cough due to other Bordetella species,Whooping cough,2025-09-07
201,A379,"Whooping cough, unspecified",Whooping cough,2025-09-07
202,A38,Scarlet fever,Scarlet fever,2025-09-07
203,A39,Meningococcal infection,Meningococcal infection,2025-09-07
204,A390,Meningococcal meningitis,Meningococcal infection,2025-09-07
205,A391,Waterhouse-Friderichsen syndrome,Meningococcal infection,2025-09-07
206,A392,Acute meningococcaemia,Meningococcal infection,2025-09-07
207,A393,Chronic meningococcaemia,Meningococcal infection,2025-09-07
208,A394,"Meningococcaemia, unspecified",Meningococcal infection,2025-09-07
209,A395,Meningococcal heart disease,Meningococcal infection,2025-09-07
210,A398,Other meningococcal infections,Meningococcal infection,2025-09-07
211,A399,"Meningococcal infection, unspecified",Meningococcal infection,2025-09-07
212,A40,Streptococcal sepsis,Streptococcal sepsis,2025-09-07
213,A400,"Sepsis due to streptococcus, group A",Streptococcal sepsis,2025-09-07
214,A401,"Sepsis due to streptococcus, group B",Streptococcal sepsis,2025-09-07
215,A402,"Sepsis due to streptococcus, group D and enterococcus",Streptococcal sepsis,2025-09-07
216,A403,Sepsis due to Streptococcus pneumoniae,Streptococcal sepsis,2025-09-07
217,A408,Other streptococcal sepsis,Streptococcal sepsis,2025-09-07
218,A409,"Streptococcal sepsis, unspecified",Streptococcal sepsis,2025-09-07
219,A41,Other sepsis,Other sepsis,2025-09-07
220,A410,Sepsis due to Staphylococcus aureus,Other sepsis,2025-09-07
221,A411,Sepsis due to other specified staphylococcus,Other sepsis,2025-09-07
222,A412,Sepsis due to unspecified staphylococcus,Other sepsis,2025-09-07
223,A413,Sepsis due to Haemophilus influenzae,Other sepsis,2025-09-07
224,A414,Sepsis due to anaerobes,Other sepsis,2025-09-07
225,A415,Sepsis due to other Gram-negative organisms,Other sepsis,2025-09-07
226,A418,Other specified sepsis,Other sepsis,2025-09-07
227,A419,"Sepsis, unspecified",Other sepsis,2025-09-07
228,A42,Actinomycosis,Actinomycosis,2025-09-07
229,A420,Pulmonary actinomycosis,Actinomycosis,2025-09-07
230,A421,Abdominal actinomycosis,Actinomycosis,2025-09-07
231,A422,Cervicofacial actinomycosis,Actinomycosis,2025-09-07
232,A427,Actinomycotic sepsis,Actinomycosis,2025-09-07
233,A428,Other forms of actinomycosis,Actinomycosis,2025-09-07
234,A429,"Actinomycosis, unspecified",Actinomycosis,2025-09-07
235,A43,Nocardiosis,Nocardiosis,2025-09-07
236,A430,Pulmonary nocardiosis,Nocardiosis,2025-09-07
237,A431,Cutaneous nocardiosis,Nocardiosis,2025-09-07
238,A438,Other forms of nocardiosis,Nocardiosis,2025-09-07
239,A439,"Nocardiosis, unspecified",Nocardiosis,2025-09-07
240,A44,Bartonellosis,Bartonellosis,2025-09-07
241,A440,Systemic bartonellosis,Bartonellosis,2025-09-07
242,A441,Cutaneous and mucocutaneous bartonellosis,Bartonellosis,2025-09-07
243,A448,Other forms of bartonellosis,Bartonellosis,2025-09-07
244,A449,"Bartonellosis, unspecified",Bartonellosis,2025-09-07
245,A46,Erysipelas,Erysipelas,2025-09-07
246,A48,"Other bacterial diseases, not elsewhere classified","Other bacterial diseases, not elsewhere classified",2025-09-07
247,A480,Gas gangrene,"Other bacterial diseases, not elsewhere classified",2025-09-07
248,A481,Legionnaires disease,"Other bacterial diseases, not elsewhere classified",2025-09-07
249,A482,Nonpneumonic Legionnaires disease [Pontiac fever],"Other bacterial diseases, not elsewhere classified",2025-09-07
250,A483,Toxic shock syndrome,"Other bacterial diseases, not elsewhere classified",2025-09-07
251,A484,Brazilian purpuric fever,"Other bacterial diseases, not elsewhere classified",2025-09-07
252,A488,Other specified bacterial diseases,"Other bacterial diseases, not elsewhere classified",2025-09-07
253,A49,Bacterial infection of unspecified site,Bacterial infection of unspecified site,2025-09-07
254,A490,"Staphylococcal infection, unspecified site",Bacterial infection of unspecified site,2025-09-07
255,A491,"Streptococcal and enterococcal infection, unspecified site",Bacterial infection of unspecified site,2025-09-07
256,A492,"Haemophilus influenzae infection, unspecified site",Bacterial infection of unspecified site,2025-09-07
257,A493,"Mycoplasma infection, unspecified site",Bacterial infection of unspecified site,2025-09-07
258,A498,Other bacterial infections of unspecified site,Bacterial infection of unspecified site,2025-09-07
259,A499,"Bacterial infection, unspecified",Bacterial infection of unspecified site,2025-09-07
260,A50,Congenital syphilis,Congenital syphilis,2025-09-07
261,A500,"Early congenital syphilis, symptomatic",Congenital syphilis,2025-09-07
262,A501,"Early congenital syphilis, latent",Congenital syphilis,2025-09-07
263,A502,"Early congenital syphilis, unspecified",Congenital syphilis,2025-09-07
264,A503,Late congenital syphilitic oculopathy,Congenital syphilis,2025-09-07
265,A504,Late congenital neurosyphilis [juvenile neurosyphilis],Congenital syphilis,2025-09-07
266,A505,"Other late congenital syphilis, symptomatic",Congenital syphilis,2025-09-07
267,A506,"Late congenital syphilis, latent",Congenital syphilis,2025-09-07
268,A507,"Late congenital syphilis, unspecified",Congenital syphilis,2025-09-07
269,A509,"Congenital syphilis, unspecified",Congenital syphilis,2025-09-07
270,A51,Early syphilis,Early syphilis,2025-09-07
271,A510,Primary genital syphilis,Early syphilis,2025-09-07
272,A511,Primary anal syphilis,Early syphilis,2025-09-07
273,A512,Primary syphilis of other sites,Early syphilis,2025-09-07
274,A513,Secondary syphilis of skin and mucous membranes,Early syphilis,2025-09-07
275,A514,Other secondary syphilis,Early syphilis,2025-09-07
276,A515,"Early syphilis, latent",Early syphilis,2025-09-07
277,A519,"Early syphilis, unspecified",Early syphilis,2025-09-07
278,A52,Late syphilis,Late syphilis,2025-09-07
279,A520,Cardiovascular syphilis,Late syphilis,2025-09-07
280,A521,Symptomatic neurosyphilis,Late syphilis,2025-09-07
281,A522,Asymptomatic neurosyphilis,Late syphilis,2025-09-07
282,A523,"Neurosyphilis, unspecified",Late syphilis,2025-09-07
283,A527,Other symptomatic late syphilis,Late syphilis,2025-09-07
284,A528,"Late syphilis, latent",Late syphilis,2025-09-07
285,A529,"Late syphilis, unspecified",Late syphilis,2025-09-07
286,A53,Other and unspecified syphilis,Other and unspecified syphilis,2025-09-07
287,A530,"Latent syphilis, unspecified as early or late",Other and unspecified syphilis,2025-09-07
288,A539,"Syphilis, unspecified",Other and unspecified syphilis,2025-09-07
289,A54,Gonococcal infection,Gonococcal infection,2025-09-07
290,A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,Gonococcal infection,2025-09-07
291,A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,Gonococcal infection,2025-09-07
292,A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,Gonococcal infection,2025-09-07
293,A543,Gonococcal infection of eye,Gonococcal infection,2025-09-07
294,A544,Gonococcal infection of musculoskeletal system,Gonococcal infection,2025-09-07
295,A545,Gonococcal pharyngitis,Gonococcal infection,2025-09-07
296,A546,Gonococcal infection of anus and rectum,Gonococcal infection,2025-09-07
297,A548,Other gonococcal infections,Gonococcal infection,2025-09-07
298,A549,"Gonococcal infection, unspecified",Gonococcal infection,2025-09-07
299,A55,Chlamydial lymphogranuloma (venereum),Chlamydial lymphogranuloma (venereum),2025-09-07
300,A56,Other sexually transmitted chlamydial diseases,Other sexually transmitted chlamydial diseases,2025-09-07
301,A560,Chlamydial infection of lower genitourinary tract,Other sexually transmitted chlamydial diseases,2025-09-07
302,A561,Chlamydial infection of pelviperitoneum and other genitourinary organs,Other sexually transmitted chlamydial diseases,2025-09-07
303,A562,"Chlamydial infection of genitourinary tract, unspecified",Other sexually transmitted chlamydial diseases,2025-09-07
304,A563,Chlamydial infection of anus and rectum,Other sexually transmitted chlamydial diseases,2025-09-07
305,A564,Chlamydial infection of pharynx,Other sexually transmitted chlamydial diseases,2025-09-07
306,A568,Sexually transmitted chlamydial infection of other sites,Other sexually transmitted chlamydial diseases,2025-09-07
307,A57,Chancroid,Chancroid,2025-09-07
308,A58,Granuloma inguinale,Granuloma inguinale,2025-09-07
309,A59,Trichomoniasis,Trichomoniasis,2025-09-07
310,A590,Urogenital trichomoniasis,Trichomoniasis,2025-09-07
311,A598,Trichomoniasis of other sites,Trichomoniasis,2025-09-07
312,A599,"Trichomoniasis, unspecified",Trichomoniasis,2025-09-07
313,A60,Anogenital herpesviral [herpes simplex] infection,Anogenital herpesviral [herpes simplex] infection,2025-09-07
314,A600,Herpesviral infection of genitalia and urogenital tract,Anogenital herpesviral [herpes simplex] infection,2025-09-07
315,A601,Herpesviral infection of perianal skin and rectum,Anogenital herpesviral [herpes simplex] infection,2025-09-07
316,A609,"Anogenital herpesviral infection, unspecified",Anogenital herpesviral [herpes simplex] infection,2025-09-07
317,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified","Other predominantly sexually transmitted diseases, not elsewhere classified",2025-09-07
318,A630,Anogenital (venereal) warts,"Other predominantly sexually transmitted diseases, not elsewhere classified",2025-09-07
319,A638,Other specified predominantly sexually transmitted diseases,"Other predominantly sexually transmitted diseases, not elsewhere classified",2025-09-07
320,A64,Unspecified sexually transmitted disease,Unspecified sexually transmitted disease,2025-09-07
321,A65,Nonvenereal syphilis,Nonvenereal syphilis,2025-09-07
322,A66,Yaws,Yaws,2025-09-07
323,A660,Initial lesions of yaws,Yaws,2025-09-07
324,A661,Multiple papillomata and wet crab yaws,Yaws,2025-09-07
325,A662,Other early skin lesions of yaws,Yaws,2025-09-07
326,A663,Hyperkeratosis of yaws,Yaws,2025-09-07
327,A664,Gummata and ulcers of yaws,Yaws,2025-09-07
328,A665,Gangosa,Yaws,2025-09-07
329,A666,Bone and joint lesions of yaws,Yaws,2025-09-07
330,A667,Other manifestations of yaws,Yaws,2025-09-07
331,A668,Latent yaws,Yaws,2025-09-07
332,A669,"Yaws, unspecified",Yaws,2025-09-07
333,A67,Pinta [carate],Pinta [carate],2025-09-07
334,A670,Primary lesions of pinta,Pinta [carate],2025-09-07
335,A671,Intermediate lesions of pinta,Pinta [carate],2025-09-07
336,A672,Late lesions of pinta,Pinta [carate],2025-09-07
337,A673,Mixed lesions of pinta,Pinta [carate],2025-09-07
338,A679,"Pinta, unspecified",Pinta [carate],2025-09-07
339,A68,Relapsing fevers,Relapsing fevers,2025-09-07
340,A680,Louse-borne relapsing fever,Relapsing fevers,2025-09-07
341,A681,Tick-borne relapsing fever,Relapsing fevers,2025-09-07
342,A689,"Relapsing fever, unspecified",Relapsing fevers,2025-09-07
343,A69,Other spirochaetal infections,Other spirochaetal infections,2025-09-07
344,A690,Necrotizing ulcerative stomatitis,Other spirochaetal infections,2025-09-07
345,A691,Other Vincent infections,Other spirochaetal infections,2025-09-07
346,A692,Lyme disease,Other spirochaetal infections,2025-09-07
347,A698,Other specified spirochaetal infections,Other spirochaetal infections,2025-09-07
348,A699,"Spirochaetal infection, unspecified",Other spirochaetal infections,2025-09-07
349,A70,Chlamydia psittaci infection,Chlamydia psittaci infection,2025-09-07
350,A71,Trachoma,Trachoma,2025-09-07
351,A710,Initial stage of trachoma,Trachoma,2025-09-07
352,A711,Active stage of trachoma,Trachoma,2025-09-07
353,A719,"Trachoma, unspecified",Trachoma,2025-09-07
354,A74,Other diseases caused by chlamydiae,Other diseases caused by chlamydiae,2025-09-07
355,A740,Chlamydial conjunctivitis,Other diseases caused by chlamydiae,2025-09-07
356,A748,Other chlamydial diseases,Other diseases caused by chlamydiae,2025-09-07
357,A749,"Chlamydial infection, unspecified",Other diseases caused by chlamydiae,2025-09-07
358,A75,Typhus fever,Typhus fever,2025-09-07
359,A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,Typhus fever,2025-09-07
360,A751,Recrudescent typhus [Brill disease],Typhus fever,2025-09-07
361,A752,Typhus fever due to Rickettsia typhi,Typhus fever,2025-09-07
362,A753,Typhus fever due to Rickettsia tsutsugamushi,Typhus fever,2025-09-07
363,A759,"Typhus fever, unspecified",Typhus fever,2025-09-07
